Time,Ax,Ay,Az,A_rms,Mx,My,Mz,M_rms
20:35:57:682,0.03,-0.01,-0.99,0.57,-263.10,-74.80,-93.10,166.82
20:35:58:200,0.02,-0.01,-1.01,0.58,-264.80,-74.60,-93.20,167.70
20:35:58:754,0.03,-0.01,-0.99,0.57,-265.30,-75.70,-93.80,168.24
20:35:59:308,0.03,-0.01,-1.00,0.58,-263.20,-75.90,-92.00,166.83
20:35:59:862,0.03,-0.01,-1.00,0.57,-264.40,-75.40,-91.70,167.33
20:36:00:416,0.02,-0.01,-0.99,0.57,-264.30,-74.40,-92.80,167.33
20:36:00:970,0.03,-0.01,-1.02,0.59,-263.80,-75.10,-94.20,167.44
20:36:01:524,0.03,-0.02,-0.99,0.57,-264.00,-74.90,-93.70,167.42
20:36:02:078,0.03,-0.01,-0.99,0.57,-262.90,-75.30,-91.80,166.55
20:36:02:632,0.08,-0.01,-0.99,0.57,-266.60,-76.00,-92.80,168.78
20:36:03:186,0.12,-0.02,-0.98,0.57,-267.90,-75.70,-91.10,169.12
20:36:03:740,0.06,-0.03,-1.01,0.58,-266.20,-74.30,-92.80,168.32
20:36:04:294,0.07,-0.02,-1.00,0.58,-265.80,-75.20,-93.40,168.35
20:36:04:848,0.07,-0.02,-0.99,0.57,-265.20,-75.40,-91.70,167.75
20:36:05:402,0.08,-0.02,-0.99,0.57,-265.50,-74.60,-91.80,167.81
20:36:05:956,0.10,-0.02,-0.99,0.58,-267.30,-76.10,-93.30,169.26
20:36:06:510,0.11,-0.02,-0.99,0.58,-266.20,-74.80,-92.90,168.41
20:36:07:064,0.07,-0.02,-1.00,0.58,-265.10,-75.80,-91.90,167.80
20:36:07:618,0.04,-0.01,-1.01,0.58,-264.50,-74.10,-93.60,167.54
20:36:08:172,0.03,-0.02,-1.02,0.59,-264.00,-75.30,-91.40,167.05
20:36:08:726,0.02,-0.03,-1.04,0.60,-262.80,-75.40,-93.00,166.73
20:36:09:280,0.02,-0.01,-1.02,0.59,-262.80,-75.70,-93.20,166.81
20:36:09:834,0.07,-0.02,-1.02,0.59,-263.60,-75.10,-92.10,166.94
20:36:10:388,0.06,-0.01,-1.01,0.58,-265.00,-74.20,-92.20,167.56
20:36:10:942,0.05,-0.02,-1.02,0.59,-265.30,-76.30,-91.80,167.96
20:36:11:496,0.06,-0.02,-1.02,0.59,-264.30,-74.70,-91.80,167.19
20:36:12:050,0.02,-0.01,-0.99,0.57,-262.70,-73.90,-93.20,166.49
20:36:12:604,0.03,-0.01,-0.99,0.57,-266.00,-75.10,-90.60,167.93
20:36:13:158,0.03,-0.01,-0.97,0.56,-263.50,-74.50,-93.80,167.11
20:36:13:712,0.03,-0.01,-0.99,0.57,-263.50,-73.60,-94.80,167.17
20:36:14:266,0.03,-0.01,-0.98,0.56,-262.80,-74.30,-94.70,166.89
20:36:14:820,0.02,-0.01,-0.99,0.57,-262.00,-75.60,-91.20,166.01
20:36:15:374,0.02,-0.01,-0.98,0.57,-262.70,-74.80,-92.30,166.46
20:36:15:928,0.02,-0.01,-0.99,0.57,-262.00,-75.00,-90.80,165.84
20:36:16:489,0.02,-0.02,-1.00,0.58,-263.30,-75.00,-92.70,166.88
20:36:17:036,0.03,-0.01,-0.99,0.57,-264.40,-75.00,-92.60,167.44
20:36:17:590,0.03,-0.01,-0.99,0.57,-263.70,-74.50,-90.40,166.59
20:36:18:144,0.02,-0.02,-0.99,0.57,-263.50,-74.30,-92.30,166.81
20:36:18:697,0.01,0.02,-0.98,0.57,-262.10,-75.40,-92.60,166.29
20:36:19:252,-0.01,-0.03,-1.05,0.61,-262.40,-74.90,-92.70,166.39
